Maximum Temperature,Minimum Temperature,Temperature,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions,date,id
32.9,29.8,31.4,0.09,4.3,12.74,17.0,80.79,3.5,99.8,84.13,"Snow, Overcast",2021-01-31,333
31.9,22.0,28.2,0.0,1.03,13.77,14.8,338.5,9.9,60.9,70.7,"Snow, Partially cloudy",2021-02-01,498
32.1,21.6,27.0,0.0,0.0,13.24,13.3,325.71,9.9,68.9,68.12,Partially cloudy,2021-02-02,487
32.3,18.3,27.3,0.0,0.0,12.19,9.9,231.75,9.8,44.7,67.17,Partially cloudy,2021-02-03,485
36.3,16.9,30.7,0.25,0.24,11.28,22.8,202.54,6.1,95.5,72.47,"Snow, Overcast",2021-02-04,426
15.9,8.3,12.7,0.0,0.15,11.4,23.5,261.17,9.7,31.2,62.91,"Snow, Partially cloudy",2021-02-05,462
11.5,1.2,8.1,0.02,0.12,11.01,13.1,265.38,7.9,56.6,65.57,"Snow, Partially cloudy",2021-02-06,400
3.4,-3.5,0.5,0.0,0.07,11.01,11.2,288.79,9.9,61.1,55.26,"Snow, Partially cloudy",2021-02-07,381
13.5,2.4,9.2,0.04,2.46,13.27,9.2,285.5,5.8,92.9,68.27,"Snow, Overcast",2021-02-08,405
14.8,4.3,9.4,0.0,1.48,14.75,10.4,329.08,9.7,46.8,51.66,"Snow, Partially cloudy",2021-02-09,421
15.6,7.5,12.3,0.01,0.0,13.83,13.2,338.21,8.5,91.0,57.76,"Rain, Overcast",2021-02-10,412
21.9,6.5,15.7,0.0,0.37,12.46,12.8,161.88,8.1,79.9,65.72,"Snow, Overcast",2021-02-11,427
16.3,7.6,13.1,0.01,0.47,12.84,13.1,315.42,8.3,94.7,65.21,"Snow, Overcast",2021-02-12,469
10.2,-2.4,5.9,0.02,0.88,13.72,13.5,321.13,5.4,67.9,68.54,"Snow, Partially cloudy",2021-02-13,408
3.0,-2.8,0.8,0.01,0.81,14.53,15.5,328.21,7.3,85.6,56.91,"Snow, Overcast",2021-02-14,399
12.5,1.1,7.5,0.09,7.61,22.14,17.4,301.04,2.1,75.6,73.58,"Snow, Overcast",2021-02-15,323
19.5,8.9,14.5,0.01,4.44,26.58,14.3,314.58,8.2,85.4,66.69,"Snow, Overcast",2021-02-16,351
21.9,10.0,16.7,0.0,0.0,24.21,8.4,181.08,9.5,84.6,62.97,Overcast,2021-02-17,418
24.4,15.6,20.2,0.02,0.0,21.98,6.7,134.88,6.5,79.5,70.58,"Rain, Overcast",2021-02-18,420
19.6,11.3,15.5,0.0,0.0,20.67,12.8,264.58,8.3,39.9,67.63,Partially cloudy,2021-02-19,460
29.0,7.2,18.9,0.0,0.0,19.22,8.3,209.21,8.1,13.3,66.22,Clear,2021-02-20,455
35.7,19.0,30.1,0.26,0.0,17.77,16.5,169.46,7.4,83.3,69.93,"Rain, Overcast",2021-02-21,452
39.0,29.1,34.2,0.0,0.0,17.05,18.8,243.17,8.5,89.7,72.81,Overcast,2021-02-22,487
43.9,37.5,41.1,0.0,0.0,15.08,12.9,231.21,9.9,45.6,64.89,Partially cloudy,2021-02-23,535
43.0,30.1,39.0,0.0,0.0,11.93,16.6,287.08,9.9,43.8,67.85,Partially cloudy,2021-02-24,512
38.1,27.0,32.7,0.0,0.0,7.92,11.7,261.71,9.9,34.4,64.78,Partially cloudy,2021-02-25,508
40.7,27.4,35.8,0.03,1.74,7.04,12.9,174.17,9.4,51.6,59.25,"Snow, Partially cloudy",2021-02-26,553
48.2,35.0,41.7,0.01,0.0,6.3,9.2,183.88,7.8,54.5,74.05,"Rain, Partially cloudy",2021-02-27,556
45.4,32.5,40.8,0.06,0.0,4.86,17.7,236.13,7.5,79.7,81.18,"Rain, Overcast",2021-02-28,555
33.2,23.4,29.3,0.0,0.0,3.54,12.3,310.5,9.9,25.4,54.31,Partially cloudy,2021-03-01,554
41.3,23.0,34.6,0.0,0.0,2.62,16.6,220.5,9.9,3.8,57.82,Clear,2021-03-02,496
53.6,35.2,43.5,0.0,0.0,2.1,10.0,157.67,9.8,5.9,59.34,Clear,2021-03-03,537
35.7,27.7,33.0,0.0,0.0,0.92,17.4,49.0,9.9,38.7,66.07,Partially cloudy,2021-03-04,513
45.7,27.2,36.3,0.0,0.0,0.13,11.4,217.21,9.9,25.0,53.2,Clear,2021-03-05,511
42.3,29.1,35.9,0.0,0.0,0.0,7.8,133.25,9.9,11.1,60.03,Clear,2021-03-06,517
51.3,26.5,39.8,0.0,0.0,0.0,12.3,142.63,9.9,54.7,54.24,Partially cloudy,2021-03-07,485
64.0,43.5,53.0,0.0,0.0,0.0,20.0,237.83,9.9,51.2,48.82,Partially cloudy,2021-03-08,529
68.1,42.8,55.5,0.0,0.0,0.0,20.1,176.25,9.9,69.8,47.54,Partially cloudy,2021-03-09,573
68.4,56.4,61.3,0.0,0.0,0.0,24.5,198.92,9.9,93.8,55.21,Overcast,2021-03-10,532
64.2,44.1,52.3,0.05,0.0,0.0,23.8,257.21,9.9,45.6,58.26,"Rain, Partially cloudy",2021-03-11,461
52.8,37.0,43.8,0.0,0.0,0.0,12.2,183.38,9.9,63.5,52.37,Partially cloudy,2021-03-12,514
58.9,32.5,45.8,0.0,0.0,0.0,9.8,184.17,9.9,54.2,44.52,Partially cloudy,2021-03-13,488
46.2,37.3,42.0,0.0,0.0,0.0,22.8,97.58,9.9,77.1,52.13,Overcast,2021-03-14,448
39.5,29.7,34.1,0.09,1.05,1.05,22.7,103.0,6.5,92.1,64.87,"Snow, Overcast",2021-03-15,465
37.9,33.3,35.5,0.0,0.52,1.57,10.6,49.88,7.1,100.0,80.58,"Snow, Overcast",2021-03-16,466
40.0,33.8,36.8,0.4,0.0,0.46,20.8,55.17,5.8,99.9,81.31,"Rain, Overcast",2021-03-17,492
42.2,37.8,39.0,0.14,0.0,0.0,30.6,29.96,8.8,87.8,74.51,"Rain, Overcast",2021-03-18,435
45.4,34.0,38.8,0.0,0.0,0.0,21.0,60.5,9.9,12.6,46.07,Clear,2021-03-19,490
57.8,30.9,44.1,0.0,0.0,0.0,10.0,133.13,9.9,0.0,48.71,Clear,2021-03-20,475
64.9,37.9,52.6,0.0,0.0,0.0,17.8,183.04,9.9,37.2,37.21,Partially cloudy,2021-03-21,537
67.9,47.2,57.0,0.0,0.0,0.0,17.7,183.0,9.9,72.9,37.95,Partially cloudy,2021-03-22,581
65.1,50.9,57.0,0.17,0.0,0.0,16.1,134.29,9.6,95.2,60.99,"Rain, Overcast",2021-03-23,468
58.5,48.3,54.9,0.02,0.0,0.0,22.6,212.63,9.8,93.9,71.35,"Rain, Overcast",2021-03-24,479
49.4,38.7,45.1,0.09,0.0,0.0,23.0,103.63,9.4,92.2,73.87,"Rain, Overcast",2021-03-25,444
41.7,35.8,39.1,0.06,0.0,0.0,18.9,186.04,9.8,90.5,78.97,"Rain, Overcast",2021-03-26,500
63.9,37.3,51.6,0.0,0.0,0.0,15.4,150.79,8.8,92.1,73.78,Overcast,2021-03-27,473
51.5,36.4,43.8,0.0,0.0,0.0,25.6,295.88,9.9,65.2,51.32,Partially cloudy,2021-03-28,530
62.2,31.6,47.7,0.0,0.0,0.0,24.2,205.29,9.9,25.7,47.25,Partially cloudy,2021-03-29,481
67.7,47.6,56.5,0.0,0.0,0.0,22.7,234.46,9.9,65.4,39.51,Partially cloudy,2021-03-30,500
44.8,34.8,39.1,0.0,0.0,0.0,18.6,297.42,9.9,53.1,37.87,Partially cloudy,2021-03-31,455
38.1,25.4,32.6,0.0,0.0,0.0,18.0,138.29,9.9,28.6,44.26,Partially cloudy,2021-04-01,507
50.0,26.6,39.7,0.0,0.0,0.0,14.5,170.63,9.9,13.5,39.2,Clear,2021-04-02,492
70.8,40.7,55.1,0.0,0.0,0.0,21.4,232.54,9.9,21.1,35.95,Clear,2021-04-03,528
75.2,45.3,61.8,0.0,0.0,0.0,11.9,150.96,9.8,33.4,42.57,Partially cloudy,2021-04-04,524
76.5,60.1,67.6,0.0,0.0,0.0,14.6,208.63,9.9,70.6,47.45,Partially cloudy,2021-04-05,507
81.3,58.5,70.8,0.0,0.0,0.0,18.1,210.7,9.9,69.8,45.68,Partially cloudy,2021-04-06,517
